Date,MDDATA.negative,MDDATA.negativeIncrease
2020-3-5,17,0
2020-3-6,26,9
2020-3-7,41,15
2020-3-8,52,11
2020-3-9,73,21
2020-3-10,89,16
2020-3-11,94,5
2020-3-12,94,0
2020-3-13,94,0
2020-3-14,94,0
2020-3-15,94,0
2020-3-16,94,0
2020-3-17,94,0
2020-3-18,94,0
2020-3-19,94,0
2020-3-20,94,0
2020-3-21,94,0
2020-3-22,94,0
2020-3-23,94,0
2020-3-24,94,0
2020-3-25,94,0
2020-3-26,94,0
2020-3-27,94,0
2020-3-28,11516,11422
2020-3-29,12354,838
2020-3-30,13316,962
2020-3-31,14868,1552
2020-4-1,17233,2365
2020-4-2,18890,1657
2020-4-3,20932,2042
2020-4-4,22485,1553
2020-4-5,24728,2243
2020-4-6,25572,844
2020-4-7,27256,1684
2020-4-8,32933,5677
2020-4-9,35344,2411
2020-4-10,37480,2136
2020-4-11,39544,2064
2020-4-12,41539,1995
2020-4-13,42815,1276
2020-4-14,44261,1446
2020-4-15,45731,1470
2020-4-16,48059,2328
2020-4-17,50437,2378
2020-4-18,53062,2625
2020-4-19,55061,1999
2020-4-20,57713,2652
2020-4-21,59442,1729
2020-4-22,61754,2312
2020-4-23,64363,2609
2020-4-24,68100,3737
2020-4-25,71357,3257
2020-4-26,78084,6727
2020-4-27,85489,7405
2020-4-28,87672,2183
2020-4-29,90080,2408
2020-4-30,92617,2537
2020-5-1,97511,4894
2020-5-2,101049,3538
2020-5-3,107332,6283
2020-5-4,110587,3255
2020-5-5,112986,2399
2020-5-6,115849,2863
2020-5-7,119226,3377
2020-5-8,121702,2476
2020-5-9,124494,2792
2020-5-10,127344,2850
2020-5-11,131407,4063
2020-5-12,135442,4035
2020-5-13,138762,3320
2020-5-14,142551,3789
2020-5-15,145840,3289
2020-5-16,152207,6367
2020-5-17,156122,3915
2020-5-18,161744,5622
2020-5-19,167112,5368
2020-5-20,173007,5895
2020-5-21,176702,3695
2020-5-22,183478,6776
2020-5-23,186832,3354
2020-5-24,194049,7217
2020-5-25,202425,8376
2020-5-26,206800,4375
2020-5-27,213632,6832
2020-5-28,225149,11517
2020-5-29,233530,8381
2020-5-30,241931,8401
2020-5-31,249103,7172
2020-6-1,255403,6300
2020-6-2,261640,6237
2020-6-3,272643,11003
2020-6-4,281160,8517
2020-6-5,290956,9796
2020-6-6,299894,8938
2020-6-7,306830,6936
2020-6-8,313099,6269
2020-6-9,319178,6079
2020-6-10,325177,5999
2020-6-11,332173,6996
2020-6-12,339482,7309
2020-6-13,347453,7971
2020-6-14,353608,6155
2020-6-15,359076,5468
2020-6-16,366816,7740
2020-6-17,378374,11558
2020-6-18,384379,6005
2020-6-19,390121,5742
2020-6-20,398324,8203
2020-6-21,404725,6401
2020-6-22,410122,5397
2020-6-23,418528,8406
2020-6-24,425120,6592
2020-6-25,433182,8062
2020-6-26,440282,7100
2020-6-27,447366,7084
2020-6-28,452696,5330
2020-6-29,462059,9363
2020-6-30,468296,6237
2020-7-1,474686,6390
2020-7-2,484752,10066
2020-7-3,494873,10121
2020-7-4,504001,9128
2020-7-5,510330,6329
2020-7-6,517457,7127
2020-7-7,523982,6525
2020-7-8,532247,8265
2020-7-9,541134,8887
2020-7-10,549153,8019
2020-7-11,556810,7657
2020-7-12,570282,13472
2020-7-13,578430,8148
2020-7-14,591809,13379
2020-7-15,605072,13263
2020-7-16,616865,11793
2020-7-17,631845,14980
2020-7-18,643780,11935
2020-7-19,661654,17874
2020-7-20,670594,8940
2020-7-21,684822,14228
2020-7-22,702661,17839
2020-7-23,708205,5544
2020-7-24,722584,14379
2020-7-25,742272,19688
2020-7-26,754824,12552
2020-7-27,770642,15818
2020-7-28,782732,12090
2020-7-29,792674,9942
2020-7-30,806788,14114
2020-7-31,822845,16057
2020-8-1,839989,17144
2020-8-2,854512,14523
2020-8-3,869493,14981
2020-8-4,880492,10999
2020-8-5,889969,9477
2020-8-6,899136,9167
2020-8-7,913018,13882
2020-8-8,924942,11924
2020-8-9,943842,18900
2020-8-10,960552,16710
2020-8-11,970616,10064
2020-8-12,981454,10838
2020-8-13,996934,15480
2020-8-14,1011398,14464
2020-8-15,1027959,16561
2020-8-16,1042198,14239
2020-8-17,1056897,14699
2020-8-18,1066070,9173
2020-8-19,1074119,8049
2020-8-20,1085447,11328
2020-8-21,1101368,15921
2020-8-22,1116918,15550
2020-8-23,1128794,11876
2020-8-24,1142924,14130
2020-8-25,1150519,7595
2020-8-26,1157685,7166
2020-8-27,1169019,11334
2020-8-28,1184606,15587
2020-8-29,1197189,12583
2020-8-30,1211447,14258
2020-8-31,1222604,11157
2020-9-1,1230054,7450
2020-9-2,1236327,6273
2020-9-3,1247593,11266
2020-9-4,1260634,13041
2020-9-5,1272848,12214
2020-9-6,1281205,8357
2020-9-7,1292306,11101
2020-9-8,1297359,5053
2020-9-9,1301947,4588
2020-9-10,1309649,7702
2020-9-11,1318152,8503
2020-9-12,1328919,10767
2020-9-13,1339735,10816
2020-9-14,1348217,8482
2020-9-15,1355537,7320
2020-9-16,1365070,9533
2020-9-17,1375823,10753
2020-9-18,1385805,9982
2020-9-19,1399060,13255
2020-9-20,1409320,10260
2020-9-21,1417061,7741
2020-9-22,1423102,6041
2020-9-23,1430808,7706
2020-9-24,1439779,8971
2020-9-25,1450125,10346
2020-9-26,1461328,11203
2020-9-27,1470960,9632
2020-9-28,1479219,8259
2020-9-29,1485999,6780
2020-9-30,1493282,7283
2020-10-1,1502690,9408
